Gene.ID	Gene.Name	HGNC	EntrezGene	RefSeq	transcript_id
ENSG00000133739.15	LRRCC1	LRRCC1	85444	NM_033402.4;NA	ENST00000360375.7;ENST00000414626.2
ENSG00000133740.10	E2F5	E2F5	1875	NM_001951.3;NM_001083588.1;NA;NM_001083589.1	ENST00000416274.6;ENST00000418930.6;ENST00000517476.5;ENST00000518234.5;ENST00000520225.1;ENST00000521429.5
ENSG00000133742.13	CA1	CA1	759	NM_001128829.3;NA;NM_001291968.1;NM_001128831.3;NM_001291967.1;NM_001128830.3	ENST00000431316.3;ENST00000517590.5;ENST00000517618.5;ENST00000519129.5;ENST00000519991.5;ENST00000520663.5;ENST00000521679.5;ENST00000521846.5;ENST00000522389.5;ENST00000522579.5;ENST00000522662.5;ENST00000522814.5;ENST00000523022.5;ENST00000523858.5;ENST00000523953.5;ENST00000524324.5;ENST00000542576.5;ENST00000626824.1
ENSG00000133773.11	CCDC59	CCDC59	29080	NM_014167.4;NA	ENST00000256151.7;ENST00000552377.5
ENSG00000133789.14	SWAP70	SWAP70	23075	NM_015055.3;NM_001297714.1;NA	ENST00000318950.10;ENST00000447399.6;ENST00000534662.1
ENSG00000133794.17	ARNTL	ARNTL	406	NM_001030272.2;NM_001297724.1;NM_001297719.1;NA;NM_001030273.2	ENST00000389707.8;ENST00000401424.5;ENST00000403290.5;ENST00000403482.7;ENST00000403510.7;ENST00000482049.5;ENST00000527998.5;ENST00000529050.5;ENST00000529388.5;ENST00000529825.5;ENST00000530357.5;ENST00000531665.5;ENST00000533520.5;ENST00000534544.5
ENSG00000133800.8	LYVE1	LYVE1	10894	NM_006691.3;NA	ENST00000256178.7;ENST00000529598.1
ENSG00000133805.15	AMPD3	AMPD3	272	NM_001025389.1;NM_000480.2;NM_001172431.1;NA;NM_001025390.1;NM_001172430.1	ENST00000396553.6;ENST00000396554.7;ENST00000444303.6;ENST00000524866.5;ENST00000528723.5;ENST00000529507.5;ENST00000532250.5
ENSG00000133808.4	MICALCL	MICALCL	84953	NM_032867.2;NA	ENST00000256186.2;ENST00000533534.1
ENSG00000133812.15	SBF2	SBF2	81846	NM_030962.3;NA	ENST00000256190.12;ENST00000420722.2;ENST00000530741.1;ENST00000532095.1
ENSG00000133816.13	MICAL2	MICAL2	9645	NM_001282663.1;NM_001282664.1;NM_001282666.1;NA;NM_001282665.1;NM_001346292.1	ENST00000256194.8;ENST00000342902.9;ENST00000379612.4;ENST00000524685.5;ENST00000525119.5;ENST00000526065.1;ENST00000527546.5;ENST00000530823.1;ENST00000532179.5;ENST00000532420.1;ENST00000533389.1;ENST00000537344.5
ENSG00000133818.13	RRAS2	RRAS2	22800	NM_012250.5;NA;NM_001102669.2;NM_001177315.1;NM_001177314.1	ENST00000256196.8;ENST00000414023.6;ENST00000526063.5;ENST00000529237.5;ENST00000531421.5;ENST00000531807.5;ENST00000532814.5;ENST00000534746.5;ENST00000537760.5
ENSG00000133835.14	HSD17B4	HSD17B4	3295	NM_000414.3;NM_001292028.1;NM_001199291.2;NA;NM_001292027.1;NM_001199292.1	ENST00000256216.10;ENST00000414835.6;ENST00000504811.5;ENST00000509514.5;ENST00000510025.5;ENST00000513628.5;ENST00000515320.5
ENSG00000133858.15	ZFC3H1	ZFC3H1	196441	NM_144982.4;NA	ENST00000378743.7;ENST00000548100.1;ENST00000552037.1
ENSG00000133863.7	TEX15	TEX15	56154	NM_031271.3;NM_001350162.1	ENST00000256246.5;ENST00000638951.1
ENSG00000133872.13	SARAF	SARAF	51669	NM_016127.5;NA;NM_001284239.1	ENST00000256255.10;ENST00000518296.5;ENST00000521265.5;ENST00000522794.1;ENST00000523127.5;ENST00000523761.1;ENST00000545648.2
ENSG00000133874.1	RNF122	RNF122	79845	NM_024787.3	ENST00000256257.1
ENSG00000133878.8	DUSP26	DUSP26	78986	NM_001305115.1;NA	ENST00000256261.8;ENST00000522982.1;ENST00000523956.1
